Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Shale,,,Fault,0.8837599988343822,,1979.0,0
Limestone,,,None,,2.080402385844163,,0
Sandstone,1.3574756705666358,490.9560134610545,None,0.5668191233856312,2.742432230479576,,0
Sandstone,10.523328690309365,,Anticline,,4.590473966002695,,1
Limestone,,,None,,2.677574508,,0
Sandstone,27.562419144127546,449.1646395768422,Fault,0.8214021435154072,,,1
Sandstone,13.607184288455244,403.8571608012647,Fault,0.093827307,,2818.0,0
Sandstone,1.7844048932516865,680.0608172985144,Anticline,0.1274218279575865,1.978923909869468,4066.0,0
Limestone,4.7534411156971785,514.9651624888995,Dome,0.8303256805947012,4.261122900390785,,0
Shale,,,Dome,0.6986102220544285,,1883.0,0
Shale,13.10273453541225,,Fault,,1.1534806172432643,2371.0,0
Shale,10.49410063534738,945.4210062567576,Anticline,0.785467266,,2307.0,0
Sandstone,,,Fault,,4.955003200466857,1072.0,0
Shale,,860.8659355444238,Dome,0.6703759104353387,0.1702469077678126,,0
Limestone,19.498562944976676,,Fault,,4.120968983332601,,0
Sandstone,8.231538156077624,,Anticline,0.3645701572242519,,3676.0,0
Sandstone,16.723229014907997,301.5053549243487,Fault,0.4003445182163753,2.054822582002169,2929.0,0
Limestone,,543.6677761516655,None,0.8539461723304547,,3166.0,1
Sandstone,24.51321297500284,,Dome,,1.4925169527352444,,1
Shale,22.89450173236684,,Dome,0.8182675681595905,2.634577229,3786.0,0
Shale,3.403865751197221,,None,0.2329575268227728,0.2641072144222833,916.0,0
Sandstone,2.3694179809869507,,None,0.036851821,,4928.0,0
Limestone,,65.94048392,Anticline,0.3549232709728912,,,0
Sandstone,27.349160692059105,329.9445653009475,Anticline,0.9533860725310008,1.6503539641449605,3211.0,1
Sandstone,23.780777185481337,,Fault,,0.9466847258948884,4196.0,1
Sandstone,10.783938655618307,963.8790087422656,None,,1.9811137006628776,,0
Sandstone,23.449063363296315,492.220860916582,Fault,0.7496685021052901,,,1
Limestone,,,Fault,,,,1
Limestone,3.216671826254624,,None,0.093585341,,,0
Limestone,1.4117513838005669,,Anticline,0.1276023083151414,,2732.0,0
Limestone,,981.8954190562532,Dome,,1.3635980492912108,784.0,1
Shale,10.230605167681016,,Fault,,4.172744499574079,,0
Limestone,1.3920865804537697,209.87575731657128,Fault,0.3717660508266061,4.854603534973963,,0
Shale,,91.0235193,Anticline,0.6228761490206036,,739.0,0
Shale,2.68698072948932,,Fault,0.9651525524330384,0.9849652791947028,,0
Limestone,18.34939258169977,,Anticline,,1.396037694821342,581.0,1
Limestone,1.442769312361063,,None,0.3238960277710513,2.3309790261852106,4353.0,1
Sandstone,1.1309317474455838,,Anticline,0.3824577834543116,,3603.0,0
Limestone,9.592295862230849,661.5721498786039,None,0.924428752,0.8397710218370713,4839.0,0
Limestone,1.712842815296518,799.1659376312119,Dome,,2.987010477696605,3501.0,1
Shale,,,Anticline,0.8438589879562556,3.038809915092034,3598.0,0
Sandstone,14.339986351629342,823.2724847,Dome,0.9088747762369326,4.785082165674167,,1
Sandstone,28.26473751,975.8762272642452,None,0.528607823,1.3218214234291292,2191.0,0
Shale,,86.54360149780703,Fault,0.933811275,0.3540450002631073,,0
Limestone,8.188499841944635,425.2543334060401,None,0.789180652,1.5606939583163577,,0
Shale,25.749912953427742,161.88516874571937,Anticline,0.9116078569574888,1.09191065128162,4376.0,0
Limestone,,846.5887411309996,Fault,,,,0
Sandstone,3.5103517457383857,,Fault,,,1117.0,1
Sandstone,,,Fault,,4.379370293002227,,0
Limestone,2.482149104612147,658.9638864541313,Anticline,,4.403783073716316,2408.0,1
Sandstone,0.5511496361431323,53.40803241908207,Dome,,3.0007201921625697,,0
Limestone,13.420516470168767,444.2715538511193,Fault,0.0309809532778618,3.275584650696701,,0
Shale,23.595776613107738,576.1738895646441,None,0.635897117,4.027688190407572,,0
Sandstone,3.427114157741875,767.1619974228103,None,,,3565.0,0
Sandstone,,,None,,1.9448582065412667,2743.0,1
Shale,6.771831715173823,277.7208206362613,None,0.6183533789785556,4.529201460711521,3078.0,1
Shale,1.3930096644843692,95.67612070042756,Dome,,0.3200392626465576,,0
Limestone,28.226288024841267,,Anticline,0.1530848188414082,4.485118235163952,1041.0,0
Sandstone,3.183762556947073,,Anticline,,,,0
Limestone,11.144578309783029,72.74276918015178,None,0.7422218355242104,4.798270978604871,,0
Shale,16.931861410169688,262.3631814855381,Fault,0.6395403505502881,1.820055276742264,1724.0,0
Limestone,,800.6104516311846,Fault,0.3393125961930803,2.2949225346733444,,0
Limestone,11.658928368213084,,None,,,3869.0,0
Shale,0.3148092341983333,,None,,,,0
Limestone,22.55028516068758,799.9629800524445,None,,1.380931449627795,,0
Limestone,11.630854645170205,439.4698314660326,Anticline,,3.5742338760508523,4532.0,0
Sandstone,,,Anticline,,3.199724676,,1
Sandstone,20.22592868594789,30.76996396585368,None,,3.9011378203328735,1307.0,0
Shale,,63.90843732496674,Fault,,3.079180529258252,3192.0,0
Shale,,,Fault,0.7299256078573148,1.698923054401658,3521.0,0
Sandstone,8.896127689,,Anticline,,2.861539357278404,,1
Sandstone,,,Anticline,0.9482686497881704,,,1
Limestone,13.626432592957425,,Anticline,0.6448478776969538,,,1
Shale,0.1174231720617191,,Anticline,0.068410485,3.226329795332583,,0
Sandstone,7.597584508971487,,Fault,0.3812351856571038,,3730.0,0
Sandstone,5.076091550317554,,Fault,0.9116035178596232,4.583906123905556,,1
Shale,5.833429332950658,,Anticline,,0.2254598595568901,,0
Limestone,,,Dome,0.6728679604557496,0.1689407771725964,4510.0,1
Limestone,20.68749196599689,,Fault,0.5020576469023181,1.266669603204824,,0
Sandstone,19.843434498393037,118.15449778435668,Anticline,0.6014901356630435,,,1
Shale,18.471781603355183,354.0160900822093,Dome,,1.546047661591784,3891.0,0
Shale,,,Fault,,0.0340997250127639,4218.0,0
Shale,16.422445211391775,852.2956000522116,Fault,,0.5631636020574088,3885.0,0
Sandstone,,658.5043140498072,Anticline,0.7897302916754999,,4997.0,1
Shale,,,Fault,,,3424.0,0
Sandstone,2.0940196384388674,743.1559152843336,Anticline,,1.4104653840781969,,1
Sandstone,9.098488182135814,21.471554831096483,Dome,,1.4733356084573574,3596.0,0
Limestone,11.47453381747783,970.2175365819662,Dome,0.4618422923253076,2.518039269,3610.0,1
Shale,,,Anticline,,4.789580434201964,3861.0,1
Sandstone,28.541905859373184,35.845425514207626,Anticline,0.960862816,,4539.0,1
Shale,24.99102792,,None,0.6588872657669321,0.5210321876892565,,0
Shale,,,Dome,0.9211471375918332,,2760.0,0
Sandstone,1.680069268170005,511.20257365808624,Fault,0.1127305321295289,1.9323037207439704,,0
Sandstone,,989.1900540345654,Anticline,0.5562377257002904,2.4336402408483155,2947.0,0
Sandstone,24.129141388665506,239.6898882607808,Dome,0.9973573486647108,4.294228598346688,2250.0,1
Sandstone,24.745613024613107,114.36016398981168,Dome,,,,0
Limestone,14.31144675538064,,Fault,0.8915732810387438,4.403415235255876,1089.0,1
Sandstone,9.738275055304848,,Dome,0.6094464071756721,1.874549190044989,2434.0,1
Shale,2.151952134447251,,None,0.85030881,,1218.0,1
Shale,,,Fault,0.1640217446287633,2.5359594400906564,3809.0,0
Sandstone,28.82488251240565,,Dome,,4.292051269,1487.0,1
Limestone,28.16630925426819,,Anticline,0.2701470804941095,,3929.0,0
Shale,26.33541933049693,103.2979494462052,Fault,0.7727564386560676,3.803879566692749,,0
Limestone,,,Fault,0.061113576,1.0677837074784102,3088.0,0
Sandstone,8.232351630011255,712.4795365249507,Dome,0.5717191004250424,2.2527738065388543,,1
Limestone,18.53599963,635.2013198232381,Anticline,0.7712572199178752,2.879768994014751,,1
Sandstone,29.843248637217183,,Anticline,0.6212617559255493,,1899.0,1
Sandstone,2.402685290134837,,Dome,0.6607410387338439,,,1
Limestone,,54.29564555531089,Fault,,1.001343030892115,,0
Sandstone,13.072030705299229,907.3584471020029,None,0.6838251043580197,4.690083632946352,2692.0,0
Shale,,318.8545188,Anticline,0.5205739373148293,0.7160357775996862,,0
Limestone,,305.3311964612831,Dome,0.6445788958808689,,4430.0,0
Shale,6.911852145436932,470.33875432001815,Anticline,0.049478191,3.6707369854904655,1514.0,0
Shale,22.722753101199743,,Dome,0.1699424910749837,4.667940262081066,2292.0,1
Limestone,13.01334823221461,565.7373888,None,0.981816702354268,,4058.0,0
Limestone,12.119288499092509,18.30864578394136,Dome,0.9518083880692424,2.981668542313098,4047.0,1
Limestone,13.507088600178518,,None,0.5637751984296409,1.7668078577046198,816.0,1
Limestone,,535.5853871657315,Anticline,0.2283104256251781,2.9538402978824143,3078.0,0
Limestone,,,Dome,,1.7166546957621271,809.0,0
Shale,8.183816780995373,726.8814131600938,Fault,0.6514787668852333,2.1808998470901213,,0
Shale,,,Anticline,,,,0
Sandstone,1.610912357979205,868.5941164,None,0.6695972165770953,3.0119915909727824,1682.0,0
Limestone,,,Dome,0.5942535671999187,,,0
Shale,29.896969688669472,256.8323378121853,Anticline,0.5055411497732909,,,0
Shale,8.014957877639697,594.8149744252639,Anticline,,4.771288728729319,740.0,0
Shale,,39.85691643457932,Dome,,0.3975179160306902,,0
Sandstone,,,None,0.7470540820893272,0.307437505,3213.0,0
Sandstone,10.849412845231337,219.52158278098895,Fault,0.6294785139623463,3.449729553067786,,0
Shale,,8.776186298698189,Dome,0.2131785292232831,,3986.0,0
Sandstone,16.625629530143733,,Dome,,,2196.0,1
Limestone,,,Dome,0.6694708988116058,1.0675739066455936,1525.0,1
Limestone,,419.6556084423155,Anticline,0.5693469444930521,,4459.0,0
Shale,3.425513407113965,,Dome,0.7189729393064442,0.8743759230466708,4223.0,0
Shale,,,Anticline,,,3048.0,0
Shale,21.92784108,,Dome,0.70656634,4.027082253138323,2876.0,0
Shale,0.7233058022600047,138.62516646912113,Anticline,,2.844929239822302,,0
Shale,,,Fault,0.8190320208363729,,1635.0,0
Limestone,18.23588472242941,123.71713887824708,None,,,,0
Limestone,0.7489866636017151,56.69384887185768,Dome,0.3871308932722845,0.1556007285162419,3906.0,0
Sandstone,17.760505283671886,,Dome,0.4712369928003699,1.6851631327588057,,0
Sandstone,,945.0202437771518,Anticline,0.9050139458677754,0.8758687055945186,,1
Shale,15.304451413689698,,Dome,,0.7250708416122431,,0
Sandstone,,,Dome,0.6408723774527126,1.7227133339929628,4865.0,1
Sandstone,27.84042710188143,,Fault,0.4309755247668423,,554.0,0
Shale,15.997541978373077,11.335250876227247,Anticline,0.7970628832022295,,1824.0,0
Sandstone,14.400555295338629,,None,0.528147881,3.372167362077354,,1
Limestone,21.76434102046461,384.19767129071465,Anticline,,2.403519923349815,,1
Shale,,,Fault,0.8760044134647508,2.5637739203995604,4618.0,0
Shale,,887.6748959542704,Fault,0.7846041253444681,0.3032103872583763,4792.0,0
Sandstone,23.570074496334577,990.2476462032308,Dome,0.4261464082805019,1.5403799799483204,,0
Limestone,13.291780869912632,260.80268529414843,None,0.2817164753332108,2.5869009172672524,,0
Sandstone,6.381808983908193,916.7096556960012,Fault,0.006393752,2.160777275543176,2727.0,0
Limestone,,,Dome,0.4639471897642874,2.7759029982182177,2156.0,0
Shale,,253.0266806172596,Anticline,0.9537693962128272,,3123.0,0
Limestone,,360.7715560861005,None,,,,0
Sandstone,11.878847662428146,857.3357606332189,Anticline,,3.5521790412043464,1932.0,1
Sandstone,29.44342786287388,,Fault,,,1829.0,0
Shale,20.14980692993696,933.2027325378124,None,,2.681764052952201,,0
Sandstone,,,Dome,0.2040688704787411,3.299050574006981,,0
Limestone,22.433830492781173,759.1299612903061,Dome,0.4259730322199133,4.852893275988395,1040.0,0
Shale,11.513173739322276,,Dome,,2.748711584469551,,0
Sandstone,,66.82812419370772,Fault,0.9005919006282612,,3052.0,1
Shale,15.70624781571245,,None,0.5820959322825418,,3595.0,0
Limestone,,,Dome,,2.9385330142453387,2605.0,1
Shale,28.71590890557704,,Dome,,,1949.0,0
Sandstone,21.545038426815413,287.5089334593512,Fault,,4.779264372336457,,0
Shale,12.45641270052992,611.8798430479609,Fault,0.3309784252380526,4.529130910934001,,0
Sandstone,21.260425155357154,539.6601359919742,Anticline,,3.36175363150179,,1
Limestone,12.80371116581758,356.8967898559025,Dome,0.4103350662149784,2.4045883795432643,,0
Shale,3.740923413708096,,Fault,,1.122193616229083,2906.0,0
Limestone,17.294173126732616,655.7602811060522,None,0.5579923148934525,0.9420723927273666,3771.0,0
Limestone,21.232596228161945,860.7411481104303,Fault,0.9686995467436516,1.927194585906229,,1
Shale,,837.6817960494088,Fault,0.2900974467614731,4.212137210222777,,0
Sandstone,28.834782471304955,997.1347622642076,Anticline,0.029426067,2.537720492,2342.0,0
Sandstone,19.877037532163552,,Fault,0.4346945143083677,,3821.0,0
Limestone,21.17971209,,Fault,0.5877677851627399,,,0
Shale,,835.4711543975917,Fault,0.5897376125562032,,,0
Shale,24.990186456032585,327.3825057654024,Anticline,0.1325860964049587,0.7761071389959168,3534.0,0
Shale,17.534993865923706,490.5142465135792,None,,,879.0,1
Sandstone,15.329122291351862,,Fault,0.3112606621495632,3.347815738270718,,1
Sandstone,11.553183689697612,69.91832095042191,Fault,0.2816818336481683,3.974441649,,1
Sandstone,7.837353973607471,,Dome,0.4631958779654482,,1820.0,0
Sandstone,13.537998422193432,,Anticline,0.1628722281643478,0.102165830357625,,0
Limestone,,955.9058186943632,Dome,0.2340926361660719,,,0
Sandstone,10.703061348698178,,Fault,0.5982018957938589,4.420014425699485,,1
Sandstone,,,Anticline,0.077745444,4.823739074712133,3398.0,0
Shale,,,None,0.2647294959989589,2.274798321831044,3869.0,0
Sandstone,,889.5573115933255,Fault,0.8197385409262475,,,1
Shale,11.275573955459375,604.1229908175957,None,0.580322246,,3647.0,0
Shale,12.236478305909491,,Dome,,3.247192112892567,652.0,0
Sandstone,,,Fault,0.4520765706791205,1.4487544438947682,,0
Limestone,1.2428426645816326,,Anticline,0.7946795684312156,4.780223436890206,,1
Sandstone,23.639104007727948,468.076305844072,Fault,,3.0442662511110115,,0
Limestone,4.906370604724178,,Fault,0.5277052921529723,0.1415573369261508,,0
Shale,10.190778554387611,244.9858868925746,Dome,0.5292383365771101,,975.0,0
Limestone,24.314046516463986,151.76506673081627,None,0.962836633242806,4.622512149239309,3227.0,1
Shale,10.54136900274326,622.0954680186387,Dome,0.3817794385098544,4.579265499708763,3053.0,0
Shale,,,Dome,0.5013719345705198,,,0
Sandstone,0.4314370795245892,23.13447278682728,Dome,0.5848200366533628,2.184089103153771,2810.0,0
Limestone,1.8403162345160409,,Fault,,3.526408019855132,,0
Shale,6.370019228606738,854.1623173351177,Fault,0.4362072964823696,,,0
Limestone,12.701602472023856,311.89415396897965,Fault,,1.1637007369541386,,0
Limestone,25.530113003917474,,Dome,,0.9187934057057924,2344.0,1
Shale,,550.3584787400343,Fault,0.6593141943788129,0.1261744279340104,,0
Sandstone,,951.195085174008,Dome,,,1824.0,0
Shale,,743.1658112337687,Fault,0.8073371707198082,3.084891404336293,3743.0,0
Limestone,23.247854169178648,,None,,,2123.0,0
Limestone,1.4091897329441938,297.79912295390795,Dome,,0.8952061922538118,,1
Sandstone,,546.3566567075408,None,0.2176140244488256,1.7383833665725,2318.0,0
Sandstone,5.669569799135253,,Anticline,0.7034631642899991,0.4000730391349394,,1
Sandstone,7.4269352442535395,352.78634507668335,None,,0.1044810610278706,2135.0,0
Limestone,0.9996959831852535,,Anticline,0.1457052524892038,0.819119931,1410.0,0
Sandstone,27.71229393799945,343.5767389712495,Anticline,0.4380151762580812,,4701.0,0
Limestone,19.51275746471593,625.4017610225186,Dome,0.4663122159459896,,2657.0,0
Limestone,,668.6968613638427,Fault,,4.11536258254174,,0
Limestone,9.669744734082746,,Fault,0.676246812,4.643862127919405,3495.0,1
Limestone,9.774703823114542,679.5677543229503,Anticline,0.0219705708025074,,,0
Limestone,5.607942883243408,891.1641386,None,0.8850841193734466,3.769191295926883,1670.0,0
Shale,,461.80926261911935,Anticline,0.8309413964613068,,1703.0,1
Limestone,,72.87441288020094,None,0.3312983404606731,,3660.0,0
Limestone,0.2142624530473513,585.4067569532167,Dome,0.5297684675304802,,3949.0,0
Limestone,10.193107268965312,215.42332494152416,None,0.3991807649888911,4.3709988530051085,1738.0,0
Shale,22.48278017942426,524.2347381,None,0.3478278037861146,,4833.0,0
Sandstone,19.92605139215357,202.88108184291573,Fault,,,4212.0,1
Limestone,6.609821803127477,303.0812225063144,Fault,0.5926158115981464,0.409462641000024,,0
Sandstone,9.357357166101156,,Anticline,0.2409520426369428,4.701886554183299,1422.0,0
Shale,,575.2946256629127,None,,1.88462981962554,3437.0,0
Limestone,9.959948827132957,680.1310807,Dome,0.951967622,,730.0,1
Shale,18.36025589878366,,Dome,0.4006109237973435,2.4809296719441805,1707.0,0
Sandstone,14.224928888159592,796.3897624854363,Anticline,0.8014530278240474,0.1646764891492286,,1
Shale,,929.4963192814876,None,0.3719549577376997,4.607857365882831,,0
Shale,8.956437779464919,820.7408503872987,Dome,0.1665187105338613,1.4285564291602486,,0
Sandstone,1.6037613781445448,440.5663122807533,None,,,2616.0,0
Limestone,21.971653397926644,797.7198892891901,None,0.2294006266965225,1.3319745831048486,1378.0,1
Limestone,17.552334491196483,190.59699065714184,Dome,0.9630430223942144,2.5833744097176528,3606.0,1
Sandstone,,627.6897612796066,None,,1.7176647229074582,,1
Shale,3.3051636076089927,924.2925454813025,None,0.3685294733464573,,4672.0,0
Sandstone,13.820094895004674,,None,0.6201095320161573,4.812327669,,0
Shale,5.872668192168739,832.1580631,Fault,,1.207797536082007,,0
Limestone,13.450394115739009,,Fault,,4.419231498686232,1824.0,1
Sandstone,22.80984664212413,,None,0.650169182,1.2372180949080602,4685.0,0
Sandstone,23.23258484,466.3044253024296,Dome,0.3821084703053269,,,0
Limestone,2.4066673936714222,,Anticline,,,824.0,0
Sandstone,28.33997196513285,505.3699402802118,Fault,,,1038.0,1
Limestone,10.158336873378977,253.3085101982559,Dome,0.95705629648031,1.0079054312001767,3986.0,1
Sandstone,12.066712045413372,412.5819955026804,Anticline,0.5698284802728454,2.340980224655106,,0
Limestone,1.4568816988698507,169.4350577211598,Anticline,0.4920825742208919,1.4868086832170313,1445.0,0
Limestone,,16.546983712457287,Anticline,0.7098826887763147,1.1446314562208857,,1
Limestone,4.900099442671717,759.9616073522444,None,0.3539717479788637,4.970062680466093,3686.0,0
Limestone,16.325494469304054,58.37775900074886,Fault,0.070109793,,,0
Limestone,13.362285633173604,,Anticline,0.9392070170650174,1.5243399630372312,809.0,1
Sandstone,9.347152187466868,734.1614755286936,Dome,0.872432358,0.2672677390243377,1896.0,1
Limestone,,851.1859015964875,Fault,0.1908005996302896,,804.0,0
Shale,14.049017743691554,180.83802700575595,Fault,0.8569881878017734,3.288361249377503,,0
Sandstone,3.900787669503978,,Dome,0.041886030455102,4.787137969220235,,0
Sandstone,,,Anticline,0.9463169456136572,3.048213962920869,3125.0,1
Shale,27.25095781239245,20.71236357273688,Fault,,,,0
Shale,6.708378593779943,724.8845843947289,Dome,0.8282830451682474,,4463.0,0
Sandstone,0.3323565778292903,721.8549495589418,Fault,0.2241906988393989,3.1655377069941992,,0
Limestone,10.301333687237175,287.82200181664217,None,0.6870238380712053,0.9120694507598298,4442.0,0
Sandstone,12.334467970204162,523.4353193,Fault,,1.2980403535909677,,0
Shale,27.963872993419585,587.0466796600433,Fault,0.1285515978604493,2.8508985099361417,4809.0,0
Shale,2.3143312225818304,,None,0.4302856262487571,4.962635901310019,,0
Limestone,14.177275591315668,,Anticline,,0.064808836,2460.0,0
Shale,5.461893866455662,20.22971488504507,Fault,,4.709237470442238,2614.0,0
Shale,4.187966020794002,,None,0.2943898859392372,,1463.0,0
Shale,,194.28237356495376,Anticline,0.4358282342202101,,,0
Sandstone,21.633682683442988,104.19017408509048,Dome,,1.8786011731985977,2933.0,1
Sandstone,18.91677703037215,,Dome,0.1091697017542888,,3335.0,0
Shale,,,Fault,0.2214981453429862,4.394360941783076,,1
Sandstone,1.7193093003146045,616.6542187199824,None,0.6339032270481123,2.6619235653722386,1447.0,0
Limestone,25.36926274873264,,Anticline,0.4647403095122474,,1786.0,0
Limestone,14.361145738965677,,Fault,0.8412262245742964,1.8365474280434,2378.0,1
Sandstone,12.805749863852686,,Dome,0.4045986661677845,3.2183168363218675,4274.0,0
Limestone,15.949830712934489,,Anticline,0.8720534313794935,4.991771756616132,1459.0,1
Sandstone,2.986395384263254,,None,0.9174606572597456,4.855997839580445,3382.0,0
Shale,2.372280629299444,,Fault,0.6577239053611328,,2523.0,0
Shale,13.779943224016284,,Anticline,0.2022807675393759,2.6403218280428717,3735.0,0
Shale,5.201881986183581,,Anticline,,,,0
Limestone,15.320489533415472,350.6888625,Dome,0.9028401284526588,3.608775016129956,,1
Sandstone,27.43578461406168,906.2056397,Dome,0.9816874344919868,,,1
Sandstone,,156.15770712655964,None,,0.6121295559162965,,0
Sandstone,27.232062995325386,448.91856849614487,Dome,,1.1731994415653058,,1
Sandstone,18.85699201941849,949.6371807970204,Anticline,,,,1
Shale,13.668574693117549,638.0651481908869,None,0.5931917575579458,0.4877414706454985,3966.0,0
Shale,,,None,0.3939612753404252,1.7247627350153405,2809.0,0
Limestone,29.65619961,,Dome,0.6204679732142538,4.223032413086879,4597.0,0
Sandstone,18.257494639197247,,Anticline,,1.6720396439878398,4861.0,0
Shale,,334.06373064186386,Anticline,0.769165282,4.796988662126242,4030.0,0
Sandstone,26.646275796424472,,None,,3.15772385697772,2990.0,0
Sandstone,,762.8085416787613,Fault,,1.144057881782694,1818.0,0
Sandstone,21.70184066564785,828.6712124321249,None,0.4990567948601377,0.1131941171437367,,0
Limestone,19.99851254638117,227.6590288881419,Dome,,3.197887799242591,,1
Limestone,25.767970479741827,,Fault,,0.4976120408703832,4221.0,1
Limestone,26.76713746614319,286.90006043744984,None,0.6054648602222887,1.6399917418551984,2673.0,0
Sandstone,26.655998655734543,,None,0.8370692425570705,,,0
Limestone,26.059189194702768,,Dome,,,,0
Sandstone,,921.8674438754176,Fault,0.3665172035546203,1.3410756138025466,4520.0,0
Limestone,26.736023922054283,957.5697005830358,Fault,0.4081006484742057,4.412255775200427,682.0,0
Limestone,22.086866475856503,,Anticline,0.7387758812075146,,2711.0,1
Sandstone,,,Fault,0.6882280421776911,,2685.0,1
Limestone,,988.0049994541702,Anticline,0.916075049,,2962.0,1
Sandstone,24.82496225,83.26679482032121,None,,3.740598034676161,2521.0,0
Sandstone,9.571317896184222,158.66915431849876,None,,4.502553218187384,,0
Limestone,21.743609248751586,434.11157803420224,Anticline,,4.630871288033117,1910.0,1
Shale,,,None,,,3372.0,0
Shale,,17.790472541321353,None,0.0496308606786312,0.4506949256130466,,0
Sandstone,,511.2812385,None,0.100395919052861,1.0198115865438333,3286.0,0
Shale,,19.301023260940187,Anticline,,,2041.0,0
Sandstone,,206.84251165267708,Dome,,,3483.0,0
Limestone,14.149895483554808,452.73050267633255,Fault,0.1035339871850548,,,0
Sandstone,18.85220872922969,861.4250464,Fault,,3.869960352835728,4060.0,0
Shale,13.59802382265064,461.6806361028192,Fault,,3.0089333442581783,,0
Shale,17.467123464077588,107.3411412442748,Dome,,0.5332635871396502,3410.0,0
Limestone,8.634938965548177,,Anticline,0.919934732,1.6965851267193222,4438.0,1
Sandstone,,,Fault,0.8866131428716211,,,1
Sandstone,,,Dome,0.5794318227199275,2.3711764890930254,2088.0,0
Sandstone,18.48548895637792,489.8008673462587,Dome,0.041266784,,3850.0,0
Shale,9.519164322614596,75.03464055108786,None,,2.194649717914821,3672.0,0
Shale,11.871238907213776,419.9684436881663,None,0.376086713,0.4238482739930399,,0
Shale,9.193270097,,Anticline,0.6160881191298282,0.2437643864305116,,0
Limestone,6.40701901,433.1416907383473,Anticline,,3.408975944613144,3459.0,0
Sandstone,25.21897934457376,386.2349767887058,Dome,0.6782500604631375,,1630.0,1
Limestone,26.09813498693067,,Fault,0.076766737,2.9385914170020917,4682.0,0
Sandstone,23.20716305192161,145.02364800223145,Dome,0.890466258,,,0
Shale,7.067646847340326,743.8850499221459,Dome,,,,0
Sandstone,6.621377578,304.9420651750981,None,,0.377249677398318,,0
Sandstone,,,None,0.8864163878063751,4.590057805,1335.0,1
Limestone,2.5279309846755327,317.7561455449273,Fault,0.5821631960983702,4.704823071731836,,0
Limestone,7.751779436111103,,Anticline,,,4896.0,1
Shale,10.844614494654362,,Dome,,,3668.0,0
Sandstone,15.232564555879929,200.24089667620672,None,0.3765196406964849,2.7892241251955623,1216.0,0
Sandstone,17.078441488515733,62.06175245044111,Anticline,0.9732765453533918,0.084847173,834.0,1
Sandstone,15.574891187236211,849.6284717635227,Dome,0.4513622752009461,,,0
Sandstone,27.85007316016865,,Fault,,1.634243092517722,4905.0,0
Limestone,20.11339995847528,,None,0.1337712673567892,0.293203504132245,3227.0,0
Shale,,670.5314277112857,Anticline,,,2296.0,1
Limestone,7.781992164055616,31.131210135332115,None,,1.912665347197806,,0
Shale,19.840504196309865,,Dome,0.6525349649409644,1.6966437508428955,,0
